id,title,category,description,immediate_action,explanation,warranty_status,outcome,customer_greeting,customer_listening,customer_expectation,related_actions
1,Phone Not Powering On,Power & Thermal,"Use this when a phone seems dead, does not start, stays black after the power key, is stuck on the Samsung logo, or only vibrates.","Confirm what the customer sees right now, then ask the guided yes or no questions before promising repair intake.","This flow separates charger problems, deep battery drain, display faults, forced-restart recoveries, and true internal power failures.",Depends on the final diagnosis and any visible damage.,Power diagnosis complete.,Start with: 'I'll help you check the phone step by step so we can choose the safest next action.',"Let the customer explain what happened before the phone stopped powering on and whether it recently shut down, got wet, or overheated.","Set expectation: 'This branch check takes a few quick questions, then I'll explain whether we can recover it here or whether it really needs repair.'",Check the screen issue flow if the phone vibrates but the display stays dark.|Offer repair booking only when the branch check points to internal power failure.
2,Screen Issue,Display & Vision,"Use this for cracked displays, blacked-out screens, lines, shaky pictures, blurry output, yellow tint, ghost touch, and touch problems.",Check the screen condition with the customer in front of you before you promise a fix or quote.,"This flow separates visible damage, touch failure, temporary software behavior, display-setting changes, and internal display faults.",Manufacturing faults may be covered. Cracks and impact damage are usually not covered.,Screen diagnosis complete.,Start with: 'Let's look at the screen together and I'll explain each next step in simple terms.',Ask when the display problem started and whether the phone was dropped, pressed, updated, or got wet.,"Set expectation: 'I'll check whether this looks like visible damage, a temporary issue, or something that needs repair.'",Link back to the power flow if the phone will not show any life at all.|Capture photos of visible cracks before handover.
3,Stolen Phone,Security & Access,"Use this when a customer says the phone was stolen, snatched, lost, or is no longer in their possession.","Slow the conversation down, confirm ownership details, and move straight into device protection steps.","This flow helps the branch officer decide whether to focus on tracking, account protection, ownership proof, or reporting.",Theft is not covered under standard device warranty.,Security response complete.,Start with: 'I'm sorry this happened. Let's secure the account and device details first.',Let the customer explain when the phone was taken and what access they still have.,"Set expectation: 'We'll focus on protection steps first, then I'll show you what can still be done from the branch side.'",Offer SIM block guidance if the number is still active.|Advise the customer to change account passwords immediately if they still have access.
4,Charging Issue,Power & Thermal,"Use this when the phone does not charge, charges slowly, only charges in one position, shows moisture or port warnings, or loses battery while plugged in.","Check the cable, charger, charging port history, and visible alerts before you assume the battery is faulty.","This flow helps the branch officer separate accessory faults, port-side problems, usage behavior, battery wear, and deeper charging issues.",Depends on physical condition and the final charging diagnosis.,Charging diagnosis complete.,Start with: 'We'll check the charging basics first so we don't send the phone for repair too early.',"Ask whether the issue is slow charging, no charging, one-position charging, moisture warning, or battery draining too fast while plugged in.","Set expectation: 'I'll help you rule out the common causes first, then I'll explain whether this needs repair.'",Move to the power flow if the phone stops showing any life at all.|Check screen flow if the customer reports vibration without visible display during charging.
5,Overheating or Swollen Battery,Power & Thermal,"Use this when the phone gets too hot, shows a temperature warning, smells burnt, or has a swollen battery or lifting back cover.","Treat safety first. Ask whether the phone is hot right now, charging, swollen, or giving off a smell before any other step.","This flow separates unsafe battery swelling, heavy-use heat, charger-related heat, and persistent thermal faults.",Swollen or burnt battery cases need inspection before any warranty promise is made.,Thermal diagnosis complete.,"Start with: 'Let's make sure the phone is safe to handle first, then we'll decide the next step.'","Ask when the heat started and whether the phone was charging, in the sun, gaming, or using hotspot.","Set expectation: 'If this looks unsafe, I will stop the quick checks and guide you to the safest repair step.'",Move to the charging issue flow if the heat appears only while using one charger.|Move to the battery-drain flow if the main complaint is fast discharge without major heat.
6,Battery Draining Fast,Power & Thermal,"Use this when the battery finishes quickly, drops overnight, or the charge percentage falls too fast during light use.","Ask how fast the battery drops, whether this started recently, and whether the phone is also heating or shutting down.","This flow separates app or settings drain, repeat battery-health complaints, and power faults that need inspection.","Depends on battery health, visible damage, and the final inspection result.",Battery-drain diagnosis complete.,Start with: 'Let's check whether this is something the branch can correct before the phone is sent away.',"Ask whether the drain started after an app, update, hotspot use, or another recent change.",Set expectation: 'I'll first rule out the common battery-drain causes that can be fixed at branch level.',Move to the overheating flow if the phone is also getting hot or swelling.|Move to the charging flow if the battery never reaches a full charge.
7,"Freezing, Hanging, or App Issue",Logic & Software,"Use this when the phone freezes, hangs, becomes very slow, delays when opening apps, or a customer reports app crashes and stuck screens.",Ask whether the problem happens in one app or across the whole phone before you assume the device needs repair.,"This flow helps branch officers separate app-specific faults, storage pressure, pending updates, temporary lag, and broader software instability.",Software-led issues are not a warranty decision until hardware causes are ruled out.,Logic-software diagnosis complete.,Start with: 'We'll first check if this is a software or app problem that can be solved here.',"Ask when the freezing started and whether it is linked to one app, a recent update, low storage, or the phone feeling hot.","Set expectation: 'If the easy software checks fix it, we can avoid sending the phone away unnecessarily.'",Move to the random restart or safe mode flow if the phone is rebooting on its own.|Move to the screen flow only if the display itself is damaged or distorted.
8,Random Restart or Safe Mode Issue,Logic & Software,"Use this when the phone restarts by itself, keeps rebooting, or gets stuck in safe mode.",Confirm whether the phone is in safe mode now or if the restarts are random before assuming a hardware defect.,"This flow separates stuck-button or safe-mode behavior, app-triggered restarts, and repeat restart faults that need escalation.",No warranty decision until the restart pattern and physical condition are confirmed.,Restart diagnosis complete.,Start with: 'Let's check whether the restart behavior can be solved here before we book a repair.',"Ask whether the restart began after an update, one app, a new case, or a button problem.","Set expectation: 'If a simple branch check clears the safe mode or restart trigger, we can save time and courier cost.'",Move to the freezing flow if the phone mostly hangs but does not reboot.|Move to the power flow if the phone now shows no life at all.
9,SIM or Network Issue,Connectivity & I/O,"Use this when the phone does not read the SIM, shows no service, loses mobile data, fails to register to network, or cannot hold network reliably.",Separate SIM detection and mobile-signal complaints from Wi-Fi-only complaints before you assume the device needs board repair.,"This flow helps branch staff rule out SIM-side problems, coverage issues, APN or airplane-mode mistakes, and basic phone-side resets before escalation.","No final warranty decision until SIM, coverage, and damage causes are ruled out.",Connectivity diagnosis complete.,Start with: 'Let's first rule out the simple SIM and network causes that can be handled here.',"Ask whether the problem is no SIM, no signal, no mobile data, delayed network registration, or Wi-Fi only.","Set expectation: 'If the signal comes back after the branch checks, we can avoid an unnecessary service-center trip.'",Move to the audio issue flow if the complaint is mainly about call hearing rather than signal.|Move to the physical damage flow if the SIM tray or frame is visibly damaged.
10,"Speaker, Microphone, or Audio Issue",Connectivity & I/O,"Use this when the customer cannot hear, cannot be heard, has low speaker output, or reports mouthpiece, earpiece, or microphone trouble.","Rule out mute, Bluetooth, headset mode, and low volume before booking audio repair.",This flow helps branch staff separate simple audio-routing problems from repeat component faults.,"No final warranty decision until settings, signal, and visible damage causes are ruled out.",Audio diagnosis complete.,Start with: 'Let's first check the easy audio settings that often solve this without sending the phone away.',"Ask whether the customer cannot hear, cannot be heard, or both, and whether it happens in calls, media, or recordings.","Set expectation: 'If the sound comes back after the branch checks, we can avoid an unnecessary repair trip.'","Move to the network issue flow if the complaint is only about call quality and poor signal.|Move to the physical damage flow if the frame, grill, or speaker area is visibly damaged."
11,"FRP, Password, or Locked Device",Security & Access,"Use this when the customer forgot a password or pattern, faces FRP or Google lock, or brings a managed or restricted device.",Confirm ownership before discussing account recovery or reset guidance.,"This flow separates ownership proof, FRP or Google lock, forgotten credentials, and managed-device restrictions.",Credential loss and FRP are not standard hardware warranty issues.,Security-access diagnosis complete.,"Start with: 'I'll first confirm the ownership side, then I'll explain the safest recovery path.'","Ask whether the phone belongs to the customer, what lock screen is showing, and whether the issue started after a reset.","Set expectation: 'This is handled as an access and ownership process, not a normal repair diagnosis.'",Move to the stolen phone flow if ownership is uncertain and the device may not belong to the customer.|Do not promise bypass actions for security locks.
12,Liquid or Physical Damage,Physical & Liquid,"Use this when the phone fell in water, was dropped, is bent, burnt, has a broken SIM tray, or shows obvious external damage.","Check for visible impact, liquid, corrosion, bend, or burn signs before you book any standard repair path.",This flow helps branch staff document external damage correctly and avoid misclassifying damage as a normal in-warranty fault.,Physical or liquid damage is usually outside standard warranty unless inspection policy says otherwise.,Physical-damage diagnosis complete.,"Start with: 'Let's first confirm whether there is visible damage or liquid contact, because that changes the repair path.'","Ask whether the phone was dropped, got wet, bent, burnt, or broke at one external part like the SIM tray.","Set expectation: 'If this is physical or liquid damage, I will explain the correct repair route and warranty position clearly.'",Move to the screen issue flow if the main complaint is display behavior after visible damage.|Move to the charging or overheating flow if the port or battery behavior changed after the damage event.
13,"Repair Ticket, Dispatch, or Legal Status Handling",Operations & Compliance,"Use this when the branch must classify a repair, log movement, prepare dispatch, or decide which legal status request and destination should be used.","Classify the case correctly before dispatch. The wrong warranty path or legal status request creates cost, SLA, and traceability problems.","This workflow helps the branch separate in-warranty handling, out-warranty handling, forgotten-password processing, and uncertain cases that need clarification before dispatch.","In-warranty faults are free. Physical damage, tampering, and forgotten passwords are out-warranty.",Repair routing guidance complete.,Start with: 'I'll first classify the case correctly so the phone goes through the right repair and tracking path.',"Ask whether the problem is manufacturer-originating, physically damaged, tampered with, or a forgotten-password case.","Set expectation: 'The classification decides the cost, legal status request, and whether the phone goes to Transtel or Watu SIMU HQ.'","Every movement must be logged in the branch-specific Aftersales Ticketing System and Aftersales Sheet.|All signed forms, job cards, return forms, and waybills must be scanned and uploaded immediately.|Repair and return devices must have the sticker section attached before dispatch."
14,Replacement Request Eligibility,Replacements & Transfers,Use this when a customer asks for a replacement device after theft or BER and the branch must confirm eligibility before moving the case forward.,"Confirm the payment count, theft or BER status, and prior replacement history before promising a replacement device.","This workflow helps the branch separate eligible replacement cases from cases that still need legal status, payment, or return handling first.","Replacement is not automatic. It depends on payments, verified status, and prior replacement history.",Replacement eligibility guidance complete.,Start with: 'I'll confirm the replacement conditions first so I don't promise a device before the account is eligible.',"Ask whether the case is theft or BER, how many weekly payments have been made, and whether the device already has the correct legal status.","Set expectation: 'Replacement depends on both payment history and the correct legal status, so I'll check those first.'","Replacement processing runs through OBS, similar to a new sale.|Replacement devices may not include accessories.|Before handover, confirm the relock timestamp is 7 days from loan start and verify Watu App access."
15,Asset Transfer or Loan Reschedule,Replacements & Transfers,"Use this when a customer asks to transfer device ownership, transfer after death, or reschedule a loan because a faulty device has stayed too long at the repair centre.","Check arrears, presence of both parties, legal documents, and repair-centre timing before promising a transfer or reschedule.","This workflow separates normal transfer requests, death-related transfer or return decisions, and long-delay repair-centre reschedule cases.","Transfers and reschedules follow operational eligibility rules, not normal repair warranty rules.",Transfer or reschedule guidance complete.,"Start with: 'I'll first check whether this is a transfer case or a long-delay repair case, because the branch rules are different.'","Ask whether the customer wants a transfer, a next-of-kin takeover, or relief because the faulty device has stayed too long in repair.","Set expectation: 'The branch can only move forward after the eligibility checks are complete, so I'll verify those first.'",Transfers are created in OBS with Loan Type 'Transferred'.|Transfers are blocked when the loan is overdue or almost cleared.|Reschedule requests need proof from the repair centre and timing beyond 15 days without Watu Repairs status.
16,"Return, Refund, or Recovered Device Handling",Returns & Recovery,"Use this when a customer wants to return a device for refund, a recovered device is brought back, or the branch must decide whether recovery, refund, or storage rules apply.","Confirm who is returning the device, the device condition, and whether the case is a normal refund, a recovered device, or a third-party return.","This workflow separates owner-led refund requests, non-refundable return scenarios, and recovered-device handling with rewards or storage rules.","Refunds and recoveries follow ownership, condition, and traceability rules.",Return or recovery guidance complete.,"Start with: 'I'll first confirm whether this is a refund return, a recovered device, or a third-party handover so the branch follows the right path.'","Ask whether the owner is present, whether the device is damaged, and whether the phone is a recovered device being handed in.","Set expectation: 'The refund and recovery rules are different, so I'll confirm the exact case before I advise the next step.'",Collect the phone password and perform factory reset for return processing.|Check the IMEI or loan account against the Counter Flash list and the Reported Thefts list.|Upload all signed documents and keep the physical traceability chain complete.
